CNTYCODE,STATENAME,COUNTYNAME,facility_name,facility_capacity
01001,ALABAMA,AUTAUGA,Autauga Metro Jail,136.0
01003,ALABAMA,BALDWIN,Baldwin Co. Corr. Ctr.,625.0
01005,ALABAMA,BARBOUR,Barbour Co. Jail,129.0
01007,ALABAMA,BIBB,Bibb Co. Jail,82.0
01009,ALABAMA,BLOUNT,Blount Co. Corr. Fac.,101.0
01011,ALABAMA,BULLOCK,Bullock Co. Jail,28.0
01013,ALABAMA,BUTLER,Butler County Jail,92.0
01015,ALABAMA,CALHOUN,Anniston City Jail,44.0
01017,ALABAMA,CHAMBERS,Sheriff James C. Morgan Det. Fac.,135.0
01019,ALABAMA,CHEROKEE,Cherokee Co. Det. Ctr.,164.0
01021,ALABAMA,CHILTON,Chilton Co. Jail,
01023,ALABAMA,CHOCTAW,Choctaw Co. Jail,30.0
01025,ALABAMA,CLARKE,Clarke Co. Jail,141.0
01027,ALABAMA,CLAY,Clay Co. Jail,148.0
01029,ALABAMA,CLEBURNE,Cleburne Co. Jail,90.0
01031,ALABAMA,COFFEE,Coffee Co. Jail,126.0
01033,ALABAMA,COLBERT,Colbert Co. Jail,86.0
01035,ALABAMA,CONECUH,Conecuh Co. Jail,210.0
01037,ALABAMA,COOSA,Coosa Co. Jail,72.0
01039,ALABAMA,COVINGTON,Opp City Jail,16.0
01041,ALABAMA,CRENSHAW,Crenshaw Co. Jail,60.0
01043,ALABAMA,CULLMAN,Cullman Co. Det. Ctr.,236.0
01045,ALABAMA,DALE,Dale Co. Jail,120.0
01047,ALABAMA,DALLAS,Dallas Co. Jail,350.0
01049,ALABAMA,DE KALB,DeKalb County Detention Center,334.0
01051,ALABAMA,ELMORE,Elmore Co. Jail,234.0
01053,ALABAMA,ESCAMBIA,Escambia Co. Det. Ctr.,194.0
01055,ALABAMA,ETOWAH,Etowah Co. Det. Ctr.,856.0
01057,ALABAMA,FAYETTE,Fayette Co. Jail,68.0
01059,ALABAMA,FRANKLIN,Franklin Co. Jail,220.0
01061,ALABAMA,GENEVA,Geneva Co. Jail,94.0
01063,ALABAMA,GREENE,Greene Co. Jail,5.0
01065,ALABAMA,HALE,Hale Co. Jail,70.0
01067,ALABAMA,HENRY,Henry Co. Jail,
01069,ALABAMA,HOUSTON,Dothan City Jail,100.0
01071,ALABAMA,JACKSON,Jackson Co. Jail,208.0
01073,ALABAMA,JEFFERSON,Jefferson County Birmingham Jail,1044.0
01075,ALABAMA,LAMAR,Lamar Co. Jail,84.0
01077,ALABAMA,LAUDERDALE,Lauderdale County Jail,204.0
01079,ALABAMA,LAWRENCE,Lawrence Co. Jail,120.0
01081,ALABAMA,LEE,W.S. Buck Jones Detention Center,434.0
01083,ALABAMA,LIMESTONE,Limestone Co. Jail,288.0
01085,ALABAMA,LOWNDES,Lowndes Co. Jail,50.0
01087,ALABAMA,MACON,Macon County Law Enforcement Center,84.0
01089,ALABAMA,MADISON,Madison County Detention Facility,1220.0
01091,ALABAMA,MARENGO COUNTY,Marengo Co. Det. Ctr.,118.0
01093,ALABAMA,MARION,Marion Co. Jail,86.0
01095,ALABAMA,MARSHALL,Albertville City Jail,48.0
01097,ALABAMA,MOBILE,Mobile County Metro Jail,1466.0
01099,ALABAMA,MONROE,Monroe Co. Jail,203.0
01101,ALABAMA,MONTGOMERY,Mac Sim Butler Montgomery County Detention Facility,1290.0
01103,ALABAMA,MORGAN,Morgan Co. Corr. Fac.,511.0
01105,ALABAMA,PERRY,James Hood Detention Facility,18.0
01107,ALABAMA,PICKENS,Pickens Co. Jail,220.0
01109,ALABAMA,PIKE,Pike Co. Jail,60.0
01111,ALABAMA,RANDOLPH,Randolph Co. Jail,72.0
01113,ALABAMA,RUSSELL,Russell Co. Jail,355.0
01115,ALABAMA,ST CLAIR,St. Clair Co. Jail - Pell City,129.0
01117,ALABAMA,SHELBY,Shelby Co. Jail,512.0
01119,ALABAMA,SUMTER,Sumter Co. Jail,136.0
01121,ALABAMA,TALLADEGA,Talladega Co. Jail,485.0
01123,ALABAMA,TALLAPOOSA,Tallapoosa Co. Jail,147.0
01125,ALABAMA,TUSCALOOSA,Tuscaloosa Co. Jail,540.0
01127,ALABAMA,WALKER,Carbon Hill City Jail,11.0
01129,ALABAMA,WASHINGTON,Washington Co. Jail,
01131,ALABAMA,WILCOX,Prince Arnold Detention Center,
01133,ALABAMA,WINSTON,Winston Co. Jail,96.0
02016,ALASKA,ALEUTIANS WEST,Unalaska City Jail,12.0
02060,ALASKA,BRISTOL BAY,Bristol Bay Borough Jail,4.0
02070,ALASKA,DILLINGHAM,Dillingham City Jail,8.0
02100,,Haines,Haines City Jail,6.0
02122,ALASKA,KENAI PENINSULA,Seward Community Jail,14.0
02150,ALASKA,KODIAK ISLAND,Kodiak City Jail,24.0
02188,ALASKA,NORTHWEST ARCTIC,Kotzebue Regional Jail,12.0
02198,ALASKA,PRINCE OF WALES-HYDER CENSUS AREA,Petersburg City Jail,12.0
02220,ALASKA,SITKA CITY AND BOROUGH,Sitka City Jail,16.0
02261,ALASKA,VALDEZ-CORDOVA,Valdez City Jail,14.0
02275,ALASKA,WRANGELL CITY AND BOROUGH,Wrangell City Jail,12.0
04001,ARIZONA,APACHE,Apache Co. Jail,152.0
04003,ARIZONA,COCHISE,Cochise Co. Jail,160.0
04005,ARIZONA,COCONINO,Coconino Co. Jail,596.0
04007,ARIZONA,GILA,Gila Co. Globe Jail,222.0
04009,ARIZONA,GRAHAM,Graham Co. Det. Ctr.,164.0
04011,ARIZONA,GREENLEE,Greenlee Co. Corr. Fac.,34.0
04012,ARIZONA,LA PAZ,La Paz County Adult Detention Facility,266.0
04013,ARIZONA,MARICOPA,Maricopa County Jail System,9035.0
04015,ARIZONA,MOHAVE,Mohave County Adult Detention Facility,722.0
04017,ARIZONA,NAVAJO,Navajo Co. Det. Ctr.,454.0
04019,ARIZONA,PIMA,Pima County Adult Detention Complex,2066.0
04021,ARIZONA,PINAL,Pinal Co. Jail,1503.0
04023,ARIZONA,SANTA CRUZ,Santa Cruz Co. Adult Detention Center,
04025,ARIZONA,YAVAPAI,Yapavai Co. Camp Verde Facility,766.0
04027,ARIZONA,YUMA,Yuma Co. Det. Ctr.,756.0
05001,ARKANSAS,ARKANSAS,Arkansas Co. Det. Ctr.,136.0
05003,ARKANSAS,ASHLEY,Ashley Co. Jail,120.0
